species_name,taxon_id,combine_match,adult_mass_g,adult_mass_g_provenance,dispersal_km,dispersal_km_provenance,habitat_breadth_n,habitat_breadth_n_provenance,det_diet_breadth_n,det_diet_breadth_n_provenance,home_range_km2,home_range_km2_provenance,density_n_km2,density_n_km2_provenance,trophic_level,trophic_level_provenance,dphy_invertebrate,dphy_invertebrate_provenance,dphy_vertebrate,dphy_vertebrate_provenance,dphy_plant,dphy_plant_provenance,det_inv,det_inv_provenance,det_vend,det_vend_provenance,det_vect,det_vect_provenance,det_vfish,det_vfish_provenance,det_vunk,det_vunk_provenance,det_scav,det_scav_provenance,det_fruit,det_fruit_provenance,det_nect,det_nect_provenance,det_seed,det_seed_provenance,det_plantother,det_plantother_provenance,fossoriality,fossoriality_provenance,social_group_n,social_group_n_provenance,activity_cycle,activity_cycle_provenance
Dipodomys agilis,DIAG,True,60.57,reported,0.227,reported,2.0,reported,4.0,reported,0.002,reported,687.9,reported,1.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,30.0,reported,30.0,reported,1.0,imputed,,missing,1.0,reported
Dipodomys californicus,DICA,True,65.0,reported,0.236,reported,3.0,reported,4.0,reported,,missing,,missing,1.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,30.0,reported,30.0,reported,1.0,imputed,,missing,1.0,reported
Dipodomys compactus,DICO,True,49.25,reported,0.202,reported,4.0,reported,4.0,reported,,missing,,missing,1.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,30.0,reported,30.0,reported,1.0,imputed,,missing,1.0,reported
Dipodomys deserti,DIDE,True,106.75,reported,0.31,reported,1.0,reported,4.0,reported,,missing,160.5,reported,2.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,30.0,reported,30.0,reported,1.0,reported,,missing,1.0,reported
Dipodomys elator,DIEL,True,105.82,reported,0.308,reported,3.0,reported,4.0,reported,0.001,reported,1284.37,reported,2.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,30.0,reported,30.0,reported,1.0,imputed,,missing,1.0,reported
Dipodomys heermanni,DIHE,True,64.15,reported,0.234,reported,5.0,reported,4.0,reported,,missing,1160.33,reported,1.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,30.0,reported,30.0,reported,1.0,reported,1.0,reported,1.0,reported
Dipodomys ingens,DIIN,True,122.805,reported,0.334,reported,2.0,reported,4.0,reported,0.0,reported,3868.35,reported,1.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,30.0,reported,30.0,reported,1.0,reported,,missing,1.0,reported
Dipodomys merriami,DIME,True,37.805,reported,0.175,reported,2.0,reported,4.0,reported,0.002,reported,673.0,reported,2.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,30.0,reported,30.0,reported,1.0,imputed,,missing,1.0,reported
Dipodomys microps,DIMI,True,55.16,reported,0.215,reported,3.0,reported,4.0,reported,0.03,reported,1160.36,reported,1.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,30.0,reported,30.0,reported,1.0,reported,,missing,1.0,reported
Dipodomys nitratoides,DINI,True,37.8,reported,0.175,reported,2.0,reported,4.0,reported,,missing,,missing,1.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,30.0,reported,30.0,reported,1.0,reported,1.0,reported,1.0,reported
Dipodomys ordii,DIOR,True,49.6,reported,0.203,reported,2.0,reported,4.0,reported,0.004,reported,404.0,reported,2.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,30.0,reported,30.0,reported,1.0,imputed,,missing,1.0,reported
Dipodomys panamintinus,DIPA,True,56.58,reported,0.218,reported,3.0,reported,4.0,reported,0.004,reported,,missing,1.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,30.0,reported,30.0,reported,1.0,reported,1.0,reported,1.0,reported
Dipodomys simulans,DISI,True,57.7,reported,0.221,reported,4.0,reported,1.0,imputed,,missing,,missing,1.0,reported,10.0,reported,0.0,reported,90.0,reported,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,1.0,imputed,,missing,1.0,reported
Dipodomys spectabilis,DISP,True,124.61,reported,0.337,reported,1.0,reported,4.0,reported,0.001,reported,728.0,reported,2.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,30.0,reported,30.0,reported,1.0,reported,,missing,1.0,reported
Dipodomys stephensi,DIST,True,66.495,reported,0.239,reported,2.0,reported,4.0,reported,0.001,reported,3379.99,reported,2.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,30.0,reported,30.0,reported,1.0,imputed,1.0,reported,1.0,reported
Dipodomys venustus,DIVE,True,82.0,reported,0.268,reported,2.0,reported,4.0,reported,,missing,,missing,1.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,30.0,reported,30.0,reported,1.0,reported,,missing,1.0,reported
Lemmiscus curtatus,LECU,True,28.27,reported,0.149,reported,2.0,reported,1.0,reported,,missing,589.92,reported,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,100.0,reported,1.0,reported,,missing,2.0,reported
Lemmus trimucronatus,LETR,True,60.8,reported,0.227,reported,1.0,reported,1.0,imputed,0.005,reported,1784.72,reported,1.0,reported,0.0,reported,0.0,reported,100.0,reported,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,1.0,imputed,,missing,2.0,reported
Liomys irroratus,LIIR,False,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Microdipodops megacephalus,MIME,True,13.405,reported,0.099,reported,2.0,reported,2.0,reported,0.004,reported,,missing,1.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,0.0,reported,1.0,reported,,missing,1.0,reported
Microdipodops pallidus,MIPA,True,13.55,reported,0.1,reported,1.0,reported,2.0,reported,,missing,,missing,2.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,0.0,reported,1.0,reported,,missing,1.0,reported
Microtus californicus,MICA,True,53.5,reported,0.212,reported,1.0,reported,2.0,reported,0.0,reported,8775.0,reported,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,80.0,reported,1.0,imputed,,missing,2.0,reported
Microtus canicaudus,MICC,True,35.1,reported,0.168,reported,2.0,reported,2.0,reported,0.0,reported,,missing,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,80.0,reported,1.0,reported,,missing,2.0,reported
Microtus chrotorrhinus,MICH,True,38.995,reported,0.178,reported,2.0,reported,2.0,reported,,missing,,missing,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,80.0,reported,1.0,reported,,missing,2.0,reported
Microtus longicaudus,MILO,True,32.5,reported,0.161,reported,5.0,reported,2.0,reported,,missing,1200.0,reported,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,80.0,reported,1.0,imputed,,missing,2.0,reported
Microtus miurus,MIMI,True,40.25,reported,0.181,reported,1.0,reported,2.0,reported,0.001,reported,902.105,reported,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,80.0,reported,1.0,imputed,,missing,2.0,reported
Microtus montanus,MIMO,True,35.1,reported,0.168,reported,2.0,reported,2.0,reported,0.0,reported,3160.0,reported,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,80.0,reported,1.0,imputed,,missing,2.0,reported
Microtus ochrogaster,MIOC,True,46.7,reported,0.197,reported,3.0,reported,2.0,reported,0.0,reported,8990.59,reported,2.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,80.0,reported,1.0,reported,2.75,reported,2.0,reported
Microtus oeconomus,MIOE,True,33.1,reported,0.163,reported,5.0,reported,2.0,reported,0.001,reported,3985.97,reported,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,80.0,reported,1.0,imputed,,missing,2.0,reported
Microtus oregoni,MIOR,True,20.425,reported,0.125,reported,4.0,reported,2.0,reported,0.001,reported,551.7,reported,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,80.0,reported,1.0,reported,,missing,2.0,reported
Microtus pennsylvanicus,MIPE,True,38.55,reported,0.177,reported,5.0,reported,2.0,reported,0.0,reported,2537.98,reported,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,80.0,reported,1.0,imputed,,missing,2.0,reported
Microtus pinetorum,MIPI,True,25.5,reported,0.141,reported,3.0,reported,2.0,reported,0.001,reported,1460.0,reported,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,80.0,reported,1.0,reported,,missing,2.0,reported
Microtus richardsoni,MIRI,True,72.825,reported,0.251,reported,2.0,reported,2.0,reported,0.0,reported,620.0,reported,2.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,80.0,reported,1.0,reported,,missing,2.0,reported
Microtus townsendii,MITO,True,52.2,reported,0.209,reported,3.0,reported,2.0,reported,0.001,reported,34348.94,reported,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,80.0,reported,1.0,reported,,missing,2.0,reported
Microtus xanthognathus,MIXA,True,92.65,reported,0.286,reported,1.0,reported,2.0,reported,0.001,reported,1000.0,reported,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,80.0,reported,1.0,imputed,,missing,2.0,reported
Mictomys borealis,MIBO,False,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Mus musculus,MUMU,True,20.5,reported,0.125,reported,5.0,reported,3.0,reported,0.001,reported,7206.667,reported,2.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,60.0,reported,2.0,reported,,missing,1.0,reported
Myodes californicus,MYCA,True,22.8,reported,0.132,reported,1.0,reported,3.0,reported,0.001,reported,434.02,reported,2.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,30.0,reported,50.0,reported,1.0,imputed,,missing,2.0,reported
Myodes gapperi,MYGA,True,22.8,reported,0.132,reported,2.0,reported,3.0,reported,0.0,reported,2550.0,reported,2.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,30.0,reported,50.0,reported,1.0,imputed,1.0,reported,2.0,reported
Myodes rutilus,MYRU,True,25.0,reported,0.139,reported,2.0,reported,3.0,reported,,missing,420.17,reported,1.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,30.0,reported,50.0,reported,1.0,imputed,,missing,2.0,reported
Napaeozapus abietorum,NAAB,False,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Napaeozapus insignis,NAIN,True,21.8,reported,0.129,reported,3.0,reported,3.0,reported,0.01,reported,667.18,reported,2.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,0.0,reported,40.0,reported,30.0,reported,1.0,reported,,missing,1.0,reported
Neofiber alleni,NEAN,True,265.38,reported,0.511,reported,3.0,reported,1.0,reported,0.0,reported,14515.71,reported,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,100.0,reported,1.0,reported,1.0,reported,1.0,reported
Neotoma albigula,NEAL,True,190.5,reported,0.426,reported,4.0,reported,2.0,reported,0.0,reported,337.143,reported,1.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,70.0,reported,1.0,reported,1.0,reported,1.0,reported
Neotoma cinerea,NECI,True,285.89,reported,0.532,reported,5.0,reported,2.0,reported,0.03,reported,,missing,1.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,70.0,reported,1.0,imputed,4.0,reported,1.0,reported
Neotoma devia,NEDE,True,113.4,reported,0.32,reported,2.0,reported,2.0,reported,,missing,,missing,1.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,70.0,reported,2.0,imputed,,missing,1.0,reported
Neotoma floridana,NEFL,True,208.18,reported,0.447,reported,4.0,reported,2.0,reported,0.002,reported,566.667,reported,1.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,70.0,reported,1.0,imputed,1.0,reported,1.0,reported
Neotoma fuscipes,NEFU,True,213.26,reported,0.453,reported,2.0,reported,2.0,reported,0.002,reported,1700.0,reported,1.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,70.0,reported,1.0,imputed,1.0,reported,1.0,reported
Neotoma lepida,NELE,True,113.4,reported,0.32,reported,2.0,reported,2.0,reported,0.001,reported,310.0,reported,1.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,70.0,reported,2.0,reported,,missing,1.0,reported
Neotoma leucodon,NELC,True,190.5,reported,0.426,reported,3.0,reported,2.0,imputed,,missing,,missing,1.0,reported,0.0,reported,0.0,reported,100.0,reported,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,1.0,imputed,,missing,1.0,reported
Neotoma macrotis,NEMC,True,219.5,reported,0.46,reported,3.0,reported,2.0,imputed,,missing,,missing,1.0,reported,0.0,reported,0.0,reported,100.0,reported,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,1.0,imputed,,missing,1.0,reported
Neotoma magister,NEMA,True,208.59,reported,0.448,reported,3.0,reported,2.0,imputed,,missing,,missing,1.0,reported,0.0,reported,0.0,reported,100.0,reported,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,1.0,imputed,,missing,1.0,reported
Neotoma mexicana,NEME,True,203.0,reported,0.441,reported,2.0,reported,2.0,reported,,missing,164.167,reported,1.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,70.0,reported,1.0,imputed,,missing,1.0,reported
Neotoma micropus,NEMI,True,203.09,reported,0.441,reported,1.0,reported,2.0,reported,0.0,reported,1850.0,reported,1.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,70.0,reported,1.0,imputed,,missing,1.0,reported
Neotoma stephensi,NEST,True,125.33,reported,0.338,reported,2.0,reported,2.0,reported,,missing,,missing,1.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,70.0,reported,1.0,imputed,,missing,1.0,reported
Ochrotomys nuttalli,OCNU,True,22.0,reported,0.13,reported,2.0,reported,1.0,reported,0.003,reported,302.33,reported,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,2.0,reported,3.75,reported,1.0,reported
Ondatra zibethicus,ONZI,True,997.955,reported,1.059,reported,2.0,reported,1.0,reported,0.003,reported,,missing,1.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,90.0,reported,1.0,reported,,missing,2.0,reported
Onychomys arenicola,ONAR,True,24.96,reported,1.066,reported,2.0,reported,1.0,reported,,missing,,missing,3.0,reported,90.0,reported,0.0,reported,10.0,reported,90.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,1.0,imputed,,missing,1.0,reported
