species_name,taxon_id,combine_match,adult_mass_g,adult_mass_g_provenance,dispersal_km,dispersal_km_provenance,habitat_breadth_n,habitat_breadth_n_provenance,det_diet_breadth_n,det_diet_breadth_n_provenance,home_range_km2,home_range_km2_provenance,density_n_km2,density_n_km2_provenance,trophic_level,trophic_level_provenance,dphy_invertebrate,dphy_invertebrate_provenance,dphy_vertebrate,dphy_vertebrate_provenance,dphy_plant,dphy_plant_provenance,det_inv,det_inv_provenance,det_vend,det_vend_provenance,det_vect,det_vect_provenance,det_vfish,det_vfish_provenance,det_vunk,det_vunk_provenance,det_scav,det_scav_provenance,det_fruit,det_fruit_provenance,det_nect,det_nect_provenance,det_seed,det_seed_provenance,det_plantother,det_plantother_provenance,fossoriality,fossoriality_provenance,social_group_n,social_group_n_provenance,activity_cycle,activity_cycle_provenance
Alexandromys oeconomus,ALOE,False,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Arborimus albipes,ARAL,True,23.0,reported,0.133,reported,2.0,reported,1.0,reported,,missing,,missing,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,100.0,reported,2.0,reported,,missing,1.0,imputed
Arborimus longicaudus,ARLO,True,22.39,reported,0.131,reported,1.0,reported,1.0,reported,,missing,,missing,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,100.0,reported,2.0,reported,1.0,reported,1.0,reported
Arborimus pomo,ARPO,True,34.245,reported,0.166,reported,1.0,reported,1.0,reported,,missing,,missing,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,100.0,reported,2.0,reported,,missing,1.0,reported
Baiomys taylori,BATA,True,7.43,reported,0.072,reported,4.0,reported,1.0,reported,0.0,reported,2464.99,reported,1.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,80.0,reported,1.0,imputed,,missing,2.0,reported
Chaetodipus baileyi,CHBA,True,28.77,reported,0.151,reported,1.0,reported,1.0,reported,,missing,3480.0,reported,2.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,10.0,reported,1.0,imputed,,missing,1.0,reported
Chaetodipus californicus,CHCA,True,23.01,reported,0.133,reported,1.0,reported,1.0,reported,,missing,,missing,2.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,10.0,reported,1.0,imputed,,missing,1.0,reported
Chaetodipus eremicus,CHER,True,15.57,reported,0.107,reported,2.0,reported,1.0,imputed,,missing,,missing,1.0,reported,10.0,reported,0.0,reported,90.0,reported,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,1.0,imputed,,missing,1.0,reported
Chaetodipus fallax,CHFA,True,18.945,reported,0.12,reported,2.0,reported,1.0,reported,0.002,reported,502.5,reported,2.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,10.0,reported,1.0,reported,1.0,reported,1.0,reported
Chaetodipus formosus,CHFO,True,19.225,reported,0.121,reported,3.0,reported,1.0,reported,,missing,,missing,2.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,10.0,reported,1.0,imputed,,missing,1.0,reported
Chaetodipus hispidus,CHHI,True,35.7,reported,0.17,reported,2.0,reported,1.0,reported,,missing,,missing,2.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,10.0,reported,1.0,reported,1.0,reported,1.0,reported
Chaetodipus intermedius,CHIN,True,15.45,reported,0.107,reported,3.0,reported,1.0,reported,,missing,425.17,reported,2.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,10.0,reported,1.0,imputed,,missing,1.0,reported
Chaetodipus nelsoni,CHNE,True,14.965,reported,0.105,reported,3.0,reported,1.0,reported,0.003,reported,433.333,reported,1.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,10.0,reported,1.0,reported,,missing,1.0,reported
Chaetodipus penicillatus,CHPE,True,15.57,reported,0.107,reported,2.0,reported,1.0,reported,0.005,reported,307.429,reported,2.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,10.0,reported,1.0,imputed,,missing,1.0,reported
Chaetodipus rudinoris,CHRU,True,28.77,reported,0.151,reported,2.0,reported,1.0,imputed,,missing,,missing,1.0,reported,0.0,reported,0.0,reported,100.0,reported,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,1.0,imputed,,missing,1.0,reported
Chaetodipus spinatus,CHSN,True,16.34,reported,0.11,reported,2.0,reported,1.0,reported,,missing,,missing,1.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,10.0,reported,1.0,imputed,,missing,1.0,reported
Clethrionomys gapperi,CLGA,False,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Clethrionomys rutilus,CLRU,False,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Dicrostonyx groenlandicus,DIGR,True,58.44,reported,0.222,reported,1.0,reported,2.0,reported,0.007,reported,518.17,reported,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,0.0,reported,80.0,reported,1.0,imputed,,missing,2.0,imputed
Dicrostonyx nelsoni,DINE,True,58.44,reported,0.222,reported,1.0,reported,2.0,reported,,missing,,missing,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,0.0,reported,80.0,reported,1.0,imputed,,missing,2.0,imputed
