contrast_key,label,effect,ci_low,ci_high,n_species,n_matched,n_invalid_rows,sign_flip_p,interval_class
primary::primary_loso,Primary weighting | LOSO,0.032113119000000002,0.017458000000000001,0.048675010999999997,60,826,14,3.0000000000000001e-05,adverse
inverse_area_sensitivity::primary_loso,Inverse-area weighting | LOSO,0.030629623000000002,0.016213807,0.046937475999999999,60,826,14,3.0000000000000001e-05,adverse
primary::spatial_mst_block,Primary weighting | spatial MST blocks,0.010953823999999999,-0.012171415999999999,0.033431278000000002,60,718,122,0.356576434,uncertain
inverse_area_sensitivity::spatial_mst_block,Inverse-area weighting | spatial MST blocks,0.0057016189999999998,-0.015532522999999999,0.025823893000000001,60,718,122,0.59587404099999997,uncertain
