rank,species,estimable_folds,conditional_concordance,direction_vs_null
97,Portulaca oleracea,5,0.478452943256,below_0.5
98,Acacia ligulata,4,0.478662825200,below_0.5
99,Podotheca angustifolia,5,0.480020703934,below_0.5
100,Pittosporum angustifolium,3,0.480130102355,below_0.5
101,Pterocaulon sphacelatum,5,0.481461033729,below_0.5
102,Heptapleurum actinophyllum,4,0.481842737095,below_0.5
103,Lepidosperma laterale,4,0.482182635912,below_0.5
104,Cyperus polystachyos,4,0.482353234060,below_0.5
105,Melaleuca lanceolata,5,0.483419779395,below_0.5
106,Olearia axillaris,5,0.483587144220,below_0.5
107,Boerhavia mutabilis,4,0.484313183923,below_0.5
108,Acacia cyclops,3,0.484391534392,below_0.5
109,Disphyma crassifolium,5,0.484721910913,below_0.5
110,Euroschinus falcata,4,0.484817227034,below_0.5
111,Gnaphalium indutum,4,0.487180308726,below_0.5
112,Panicum trichoides,3,0.487303753116,below_0.5
113,Fimbristylis dichotoma,5,0.489441041415,below_0.5
114,Salicornia blackiana,3,0.490164307237,below_0.5
115,Digitaria bicornis,4,0.490740740741,below_0.5
116,Wikstroemia indica,4,0.490808823529,below_0.5
117,Tecticornia halocnemoides,5,0.491546770185,below_0.5
118,Lachnagrostis billardierei,3,0.492003367003,below_0.5
119,Spyridium globulosum,3,0.493110630457,below_0.5
120,Terminalia arenicola,3,0.493436454849,below_0.5
121,Hibbertia lepidota,2,0.493750000000,below_0.5
122,Cyperus pedunculatus,3,0.494125105967,below_0.5
123,Dioscorea bulbifera,5,0.494718614719,below_0.5
124,Spinifex hirsutus,4,0.495979198267,below_0.5
125,Frankenia cordata,2,0.496153846154,below_0.5
126,Eragrostis cumingii,5,0.496657283603,below_0.5
127,Myoporum insulare,5,0.496797811045,below_0.5
128,Boerhavia spec.,3,0.497340615407,below_0.5
129,Microlaena stipoides,4,0.497344242015,below_0.5
130,Dianella revoluta,5,0.498397499127,below_0.5
131,Atriplex cinerea,5,0.499569184873,below_0.5
132,Acacia auriculiformis,1,0.500000000000,equal_0.5
133,Acacia multisiliqua,2,0.500000000000,equal_0.5
134,Aglaia brownii,2,0.500000000000,equal_0.5
135,Andersonia sprengelioides,1,0.500000000000,equal_0.5
136,Asteridea nivea,1,0.500000000000,equal_0.5
137,Asteromyrtus symphyocarpa,1,0.500000000000,equal_0.5
138,Boronia alata,1,0.500000000000,equal_0.5
139,Bossiaea bossiaeoides,1,0.500000000000,equal_0.5
140,Bothriochloa bladhii,2,0.500000000000,equal_0.5
141,Canthium spec.,1,0.500000000000,equal_0.5
142,Cassytha spec.,1,0.500000000000,equal_0.5
143,Clerodendrum costatum,1,0.500000000000,equal_0.5
144,Comesperma secundum,1,0.500000000000,equal_0.5
145,Dapsilanthus spathaceus,1,0.500000000000,equal_0.5
146,Diplolaena dampieri,1,0.500000000000,equal_0.5
147,Euphorbia atoto,2,0.500000000000,equal_0.5
148,Ficus spec.,3,0.500000000000,equal_0.5
149,Ficus superba,1,0.500000000000,equal_0.5
150,Grevillea pteridifolia,1,0.500000000000,equal_0.5
151,Hibbertia spec.,3,0.500000000000,equal_0.5
152,Lepidosperma longitudinale,1,0.500000000000,equal_0.5
153,Lithomyrtus retusa,1,0.500000000000,equal_0.5
154,Maranthes corymbosa,1,0.500000000000,equal_0.5
155,Melaleuca cuticularis,1,0.500000000000,equal_0.5
156,Muellerolimon salicorniaceum,1,0.500000000000,equal_0.5
157,Nematolepis squamea,1,0.500000000000,equal_0.5
158,Neobassia astrocarpa,1,0.500000000000,equal_0.5
159,Pandanus spec.,3,0.500000000000,equal_0.5
160,Phaleria octandra,1,0.500000000000,equal_0.5
161,Pimelea clavata,1,0.500000000000,equal_0.5
162,Poa rodwayi,1,0.500000000000,equal_0.5
163,Scaevola spinescens,1,0.500000000000,equal_0.5
164,Setaria dielsii,3,0.500000000000,equal_0.5
165,Sida acuta,1,0.500000000000,equal_0.5
166,Solanum symonii,2,0.500000000000,equal_0.5
167,Stenotaphrum micranthum,1,0.500000000000,equal_0.5
168,Uvaria glabra,1,0.500000000000,equal_0.5
169,Verticordia verticillata,1,0.500000000000,equal_0.5
170,Viminaria juncea,1,0.500000000000,equal_0.5
171,Vulpia fasciculata,2,0.500000000000,equal_0.5
172,Watsonia meriana,1,0.500000000000,equal_0.5
173,Ziziphus oenopolia,1,0.500000000000,equal_0.5
174,Apalochlamys spectabilis,4,0.501317487598,above_0.5
175,Convolvulus erubescens,4,0.502046783626,above_0.5
176,Centrolepis polygyna,4,0.502495754100,above_0.5
177,Correa reflexa,4,0.503722140188,above_0.5
178,Poranthera microphylla,5,0.504449646399,above_0.5
179,Geranium solanderi,5,0.505379885815,above_0.5
180,Salicornia quinqueflora,5,0.505806977413,above_0.5
181,Helichrysum leucopsideum,4,0.505848300585,above_0.5
182,Lycium australe,2,0.505966048876,above_0.5
183,Ficus rubiginosa,3,0.506625523987,above_0.5
184,Centrolepis strigosa,5,0.506642567275,above_0.5
185,Carallia brachiata,3,0.506716249718,above_0.5
186,Alyxia spicata,4,0.506747159091,above_0.5
187,Waltheria indica,5,0.506765131420,above_0.5
188,Calophyllum sil,3,0.507194244604,above_0.5
189,Aegiceras corniculatum,4,0.507860527664,above_0.5
190,Cheilanthes austrotenuifolia,4,0.507928475034,above_0.5
191,Apium prostratum,5,0.508692534907,above_0.5
192,Hydrocotyle diantha,3,0.509589947090,above_0.5
193,Mallotus philippensis,4,0.510000000000,above_0.5
194,Paraserianthes lophantha,3,0.510737941972,above_0.5
195,Dichondra repens,5,0.510798263112,above_0.5
196,Avicennia marina,5,0.510816831947,above_0.5
197,Wilsonia backhousei,2,0.511627906977,above_0.5
198,Eriachne obtusa,5,0.511984943201,above_0.5
199,Boerhavia albiflora,3,0.512144609924,above_0.5
200,Crinum arenarium,3,0.513532763533,above_0.5
201,Galactia tenuiflora,4,0.513990929705,above_0.5
202,Capparis spec.,4,0.515184590014,above_0.5
203,Vitex trifolia,4,0.515616246499,above_0.5
204,Apium annuum,4,0.515777664789,above_0.5
205,Cupaniopsis anacardioides,4,0.517098844673,above_0.5
206,Austrostipa flavescens,5,0.517397014852,above_0.5
207,Juncus bufonius,5,0.517643471768,above_0.5
208,Crotalaria montana,4,0.518071296244,above_0.5
209,Phyllanthus novae-hollandiae,3,0.518274853801,above_0.5
210,Dianella brevicaulis,3,0.518387993863,above_0.5
211,Bellardia viscosa,1,0.519230769231,above_0.5
212,Rumex brownii,4,0.519281695661,above_0.5
213,Diospyros compacta,3,0.519458230631,above_0.5
214,Epilobium billardiereanum,4,0.519774331484,above_0.5
215,Stackhousia intermedia,4,0.520730799211,above_0.5
216,Plantago debilis,4,0.521875000000,above_0.5
217,Bromus arenarius,5,0.522136946180,above_0.5
218,Bulbostylis barbata,5,0.522263287239,above_0.5
219,Senecio hispidulus,5,0.522451230754,above_0.5
220,Millettia pinnata,3,0.522673855589,above_0.5
221,Cymbopogon refractus,4,0.523090644820,above_0.5
222,Pterostylis sanguinea,3,0.523437500000,above_0.5
223,Sclerolaena uniflora,4,0.523776092413,above_0.5
224,Hypoestes floribunda,4,0.523823962260,above_0.5
225,Stylidium adnatum,2,0.525000000000,above_0.5
226,Ficus microcarpa,3,0.525493421053,above_0.5
227,Exocarpos aphyllus,4,0.526108779587,above_0.5
228,Banksia dentata,4,0.526383911951,above_0.5
229,Leptospermum laevigatum,5,0.526560348066,above_0.5
230,Leucophyta brownii,5,0.526689902194,above_0.5
231,Crotalaria medicaginea,5,0.527982685827,above_0.5
232,Pomaderris elliptica,2,0.528119028119,above_0.5
233,Suaeda australis,5,0.528398986327,above_0.5
234,Trachymene pilosa,4,0.529265800121,above_0.5
235,Isolepis cernua,5,0.529276610486,above_0.5
236,Erigeron sumatrensis,5,0.529506641366,above_0.5
237,Huberantha nitidissima,4,0.529681899642,above_0.5
238,Pisonia grandis,2,0.529801324503,above_0.5
239,Caesalpinia bonduc,4,0.530603693182,above_0.5
240,Brucea javanica,4,0.531026164332,above_0.5
241,Cocos nucifera,3,0.532091650365,above_0.5
242,Sehima nervosum,4,0.533333333333,above_0.5
243,Melaleuca leucadendra,4,0.534129648760,above_0.5
244,Mucuna gigantea,4,0.534313725490,above_0.5
245,Drypetes deplanchei,4,0.535068310481,above_0.5
246,Carex pumila,4,0.535516742637,above_0.5
247,Ficus virens,5,0.536480051885,above_0.5
248,Myoporum acuminatum,5,0.536538717062,above_0.5
249,Ptilotus exaltatus,4,0.536923405935,above_0.5
250,Cordia dichotoma,3,0.537037037037,above_0.5
251,Parietaria debilis,5,0.537153297705,above_0.5
252,Roepera apiculata,4,0.537815415104,above_0.5
253,Templetonia retusa,5,0.538357306309,above_0.5
254,Macaranga tanarius,4,0.538370433790,above_0.5
255,Halophila ovalis,4,0.538640152417,above_0.5
256,Spergularia marina,4,0.539062500000,above_0.5
257,Goodenia ovata,4,0.540094735077,above_0.5
258,Melia azedarach,4,0.540760869565,above_0.5
259,Allocasuarina littoralis,4,0.541735347985,above_0.5
260,Senecio pinnatifolius,5,0.542214730580,above_0.5
261,Phyllanthus virgatus,5,0.543106758833,above_0.5
262,Glycosmis trifoliata,4,0.543292808007,above_0.5
263,Lumnitzera racemosa,4,0.543588789211,above_0.5
264,Alyxia buxifolia,5,0.543989315759,above_0.5
265,Ganophyllum falcatum,4,0.544105534269,above_0.5
266,Spinifex longifolius,5,0.545696719367,above_0.5
267,Sterculia quadrifida,4,0.546200901695,above_0.5
268,Sesuvium portulacastrum,5,0.546943682420,above_0.5
269,Cymbopogon ambiguus,5,0.547568498193,above_0.5
270,Exocarpos sparteus,4,0.547889610390,above_0.5
271,Perotis rara,5,0.548159481184,above_0.5
272,Samolus repens,5,0.548592588143,above_0.5
273,Muehlenbeckia adpressa,4,0.548960164218,above_0.5
274,Stipa spec.,3,0.549078525641,above_0.5
275,Capparis spinosa,5,0.549094465785,above_0.5
276,Pimelea serpyllifolia,4,0.549119602062,above_0.5
277,Rhagodia baccata,4,0.549287749288,above_0.5
278,Zanthoxylum parviflorum,4,0.549404299404,above_0.5
279,Triglochin mucronata,3,0.549975267014,above_0.5
280,Platysace compressa,1,0.550000000000,above_0.5
281,Melaleuca dealbata,5,0.550704099822,above_0.5
282,Dissocarpus biflorus,1,0.550847457627,above_0.5
283,Phyllanthus reticulatus,5,0.551006522717,above_0.5
284,Tetragonia implexicoma,5,0.551755150482,above_0.5
285,Glycine tabacina,4,0.552982954545,above_0.5
286,Vigna vexillata,4,0.553472222222,above_0.5
287,Euphorbia tannensis,5,0.553598063192,above_0.5
288,Themeda arguens,3,0.553950216450,above_0.5
289,Portulaca pilosa,5,0.553960426558,above_0.5
290,Dodonaea lanceolata,5,0.554078947368,above_0.5
291,Tetragonia tetragonoides,5,0.554589581501,above_0.5
292,Melaleuca quinquenervia,4,0.555555555556,above_0.5
293,Atriplex spec.,4,0.556427836039,above_0.5
294,Pseuderanthemum variabile,4,0.556599378882,above_0.5
295,Commicarpus australis,3,0.557744937055,above_0.5
296,Rhagodia crassifolia,5,0.557870766958,above_0.5
297,Euchiton japonicus,4,0.558310532802,above_0.5
298,Sida cordifolia,4,0.558333333333,above_0.5
299,Goodenia varia,3,0.559078247109,above_0.5
300,Caladenia latifolia,4,0.559104794365,above_0.5
301,Pycnospora lutescens,3,0.559480676329,above_0.5
302,Salsola australis,5,0.559746632147,above_0.5
303,Ceriops tagal,4,0.560183969421,above_0.5
304,Dracaena trifasciata,3,0.560919540230,above_0.5
305,Terminalia catappa,3,0.561030595813,above_0.5
306,Senecio depressicola,5,0.561214856475,above_0.5
307,Cyathea australis,4,0.561289828431,above_0.5
308,Paspalum vaginatum,3,0.561302681992,above_0.5
309,Lobelia anceps,5,0.561726281383,above_0.5
310,Swainsona lessertiifolia,4,0.562223947550,above_0.5
311,Eutaxia myrtifolia,1,0.562500000000,above_0.5
312,Rytidosperma setaceum,3,0.562648657832,above_0.5
313,Calamagrostis arenaria,5,0.563351075949,above_0.5
314,Daucus glochidiatus,5,0.563462962186,above_0.5
315,Muehlenbeckia gunnii,3,0.563892784790,above_0.5
316,Sphaeromorphaea australis,4,0.564814814815,above_0.5
317,Turraea pubescens,4,0.565374795752,above_0.5
318,Urtica incisa,5,0.566413199426,above_0.5
319,Chenopodium glaucum,5,0.566472839423,above_0.5
320,Frankenia sessilis,2,0.566666666667,above_0.5
321,Wahlenbergia gracilis,5,0.566848151848,above_0.5
322,Morinda citrifolia,4,0.566851698228,above_0.5
323,Enchylaena tomentosa,5,0.567026119701,above_0.5
324,Clematis microphylla,5,0.567079343575,above_0.5
325,Celtis paniculata,4,0.567714838960,above_0.5
326,Chamaecrista absus,4,0.569406428671,above_0.5
327,Comesperma volubile,5,0.569846207714,above_0.5
328,Hoya australis,4,0.570116120219,above_0.5
329,Indigofera hirsuta,5,0.570649129217,above_0.5
330,Maireana oppositifolia,4,0.570860605198,above_0.5
331,Triumfetta repens,3,0.571171598569,above_0.5
332,Eugenia reinwardtiana,3,0.571222328746,above_0.5
333,Fimbristylis ferruginea,5,0.571312724014,above_0.5
334,Threlkeldia diffusa,5,0.571451940214,above_0.5
335,Pipturus argenteus,4,0.571497544404,above_0.5
336,Lomandra longifolia,4,0.571534863946,above_0.5
337,Schenkia australis,5,0.571565440547,above_0.5
338,Calandrinia calyptrata,5,0.572045910899,above_0.5
339,Rhynchosia australis,3,0.572272727273,above_0.5
340,Xylocarpus granatum,4,0.572275641026,above_0.5
341,Canavalia rosea,5,0.572999084879,above_0.5
342,Calophyllum inophyllum,4,0.573170405983,above_0.5
343,Viola hederacea,5,0.573365231260,above_0.5
344,Afrohybanthus enneaspermus,5,0.573444664032,above_0.5
345,Olearia stellulata,2,0.573809523810,above_0.5
346,Croton arnhemicus,3,0.574060792350,above_0.5
347,Gahnia trifida,4,0.574348838494,above_0.5
348,Cyperus javanicus,4,0.574481009672,above_0.5
349,Poa poiformis,5,0.575620041969,above_0.5
350,Bruguiera exaristata,4,0.575807893779,above_0.5
351,Lepidosperma gladiatum,5,0.575907695565,above_0.5
352,Flagellaria indica,5,0.576088858283,above_0.5
353,Hibiscus tiliaceus,5,0.576310050569,above_0.5
354,Vigna marina,4,0.576576061507,above_0.5
355,Clerodendrum inerme,4,0.576605699157,above_0.5
356,Pimelea ferruginea,1,0.576923076923,above_0.5
357,Canarium australianum,4,0.577140242363,above_0.5
358,Fuirena ciliaris,4,0.578925120773,above_0.5
359,Histiopteris incisa,5,0.579053325833,above_0.5
360,Carpobrotus rossii,5,0.579103586250,above_0.5
361,Sigesbeckia orientalis,4,0.579112787356,above_0.5
362,Leucopogon parviflorus,5,0.579264835042,above_0.5
363,Abutilon indicum,5,0.580539148725,above_0.5
364,Leiocarpa supina,4,0.581376245283,above_0.5
365,Elaeodendron melanocarpum,4,0.581494844967,above_0.5
366,Digitaria ctenantha,4,0.581665822357,above_0.5
367,Wurmbea dioica,4,0.581944444444,above_0.5
368,Lepidium foliosum,5,0.581974531623,above_0.5
369,Malva preissiana,4,0.582155377322,above_0.5
370,Fimbristylis cymosa,4,0.583169626558,above_0.5
371,Micromelum minutum,4,0.583299512987,above_0.5
372,Uraria lagopodioides,4,0.583333333333,above_0.5
373,Cyclophyllum coprosmoides,3,0.583748615725,above_0.5
374,Correa backhouseana,4,0.583832683017,above_0.5
375,Ipomoea pes-caprae,5,0.583918998109,above_0.5
376,Imperata cylindrica,4,0.583957892100,above_0.5
377,Setaria apiculata,4,0.584253313394,above_0.5
378,Anthosachne scabra,4,0.584280953952,above_0.5
379,Bulbine semibarbata,5,0.584290987693,above_0.5
380,Guettarda speciosa,3,0.584862598533,above_0.5
381,Tinospora smilacina,5,0.584987488002,above_0.5
382,Heteropogon triticeus,3,0.585019978485,above_0.5
383,Jasminum didymum,5,0.585087344029,above_0.5
384,Juncus pauciflorus,5,0.585639654463,above_0.5
385,Cordia subcordata,5,0.585684550397,above_0.5
386,Bauhinia binata,3,0.587540906966,above_0.5
387,Alloteropsis semialata,5,0.587607031449,above_0.5
388,Parsonsia velutina,5,0.587707039337,above_0.5
389,Atriplex paludosa,5,0.587761827342,above_0.5
390,Acacia longifolia,5,0.587852333025,above_0.5
391,Jasminum elongatum,3,0.588194111745,above_0.5
392,Syzygium suborbiculare,3,0.592969675432,above_0.5
393,Euphorbia bifida,3,0.593517535631,above_0.5
394,Commelina ensifolia,5,0.593553046218,above_0.5
395,Xylocarpus moluccensis,2,0.593750000000,above_0.5
396,Wilsonia humilis,5,0.593862443778,above_0.5
397,Melaleuca viridiflora,4,0.594934122121,above_0.5
398,Sonneratia alba,3,0.595229267087,above_0.5
399,Erythrina variegata,3,0.595237968699,above_0.5
400,Vavaea amicorum,3,0.596424010217,above_0.5
401,Flueggea virosa,4,0.597829187305,above_0.5
402,Leucopogon obovatus,2,0.598591549296,above_0.5
403,Diospyros maritima,4,0.598601061968,above_0.5
404,Psychotria nesophila,3,0.598778932021,above_0.5
405,Indigofera trita,3,0.598958333333,above_0.5
406,Salacia chinensis,3,0.599014336918,above_0.5
407,Pultenaea daphnoides,5,0.599822522983,above_0.5
408,Austrostipa elegantissima,5,0.599974990297,above_0.5
409,Sagina maritima,5,0.600257604714,above_0.5
410,Agave sisalana,4,0.600446428571,above_0.5
411,Nicotiana maritima,3,0.600471698113,above_0.5
412,Cucumis althaeoides,5,0.600602630717,above_0.5
413,Rytidosperma racemosum,4,0.600795705037,above_0.5
414,Cathormion umbellatum,4,0.601290227255,above_0.5
415,Cassytha glabella,4,0.602041062802,above_0.5
416,Jacquemontia paniculata,4,0.602640346138,above_0.5
417,Melaleuca nervosa,3,0.602827050998,above_0.5
418,Asplenium obtusatum,5,0.602857476482,above_0.5
419,Setaria surgens,4,0.603410618280,above_0.5
420,Atriplex isatidea,3,0.603461005999,above_0.5
421,Dendrobium discolor,3,0.603550893551,above_0.5
422,Carpobrotus virescens,3,0.604468443863,above_0.5
423,Rhagodia candolleana,5,0.604648259336,above_0.5
424,Phyla nodiflora,4,0.605253623188,above_0.5
425,Cassytha filiformis,5,0.605466879612,above_0.5
426,Phyllanthus calycinus,4,0.605520999468,above_0.5
427,Aidia racemosa,4,0.605655808761,above_0.5
428,Limosella australis,5,0.605800896900,above_0.5
429,Scaevola crassifolia,5,0.606425221794,above_0.5
430,Scleria brownii,4,0.606655612906,above_0.5
431,Crassula colorata,5,0.607296779232,above_0.5
432,Corchorus aestuans,4,0.607569737134,above_0.5
433,Blumea saxatilis,4,0.607678812416,above_0.5
434,Buchanania arborescens,3,0.607903225806,above_0.5
435,Hydrocotyle hirta,5,0.608881401617,above_0.5
436,Indigofera linifolia,5,0.609004608295,above_0.5
437,Exocarpos cupressiformis,4,0.609393939394,above_0.5
438,Acacia humifusa,2,0.609848484848,above_0.5
439,Calytrix tetragona,5,0.610129649241,above_0.5
440,Plantago hispida,4,0.610243055556,above_0.5
441,Crassula exserta,3,0.610402752479,above_0.5
442,Capparis quiniflora,4,0.611117623699,above_0.5
443,Eucalyptus nitida,2,0.612068965517,above_0.5
444,Luvunga monophylla,3,0.612121212121,above_0.5
445,Cajanus reticulatus,2,0.612500000000,above_0.5
446,Solanum americanum,3,0.612764550265,above_0.5
447,Murdannia graminea,4,0.613774463384,above_0.5
448,Xenostegia tridentata,4,0.614326730303,above_0.5
449,Oxalis perennans,5,0.614629607897,above_0.5
450,Bursaria spinosa,5,0.614630541872,above_0.5
451,Pteridium esculentum,5,0.615845330056,above_0.5
452,Solanum vescum,4,0.617507964954,above_0.5
453,Paspalum scrobiculatum,5,0.618484848485,above_0.5
454,Roepera billardierei,4,0.618627818815,above_0.5
455,Portulaca australis,3,0.618841310594,above_0.5
456,Crassula tetramera,3,0.619360902256,above_0.5
457,Ichnocarpus frutescens,4,0.619428104575,above_0.5
458,Pemphis acidula,4,0.619823232323,above_0.5
459,Ipomoea macrantha,4,0.620863931100,above_0.5
460,Pimelea linifolia,5,0.621222527473,above_0.5
461,Pleurostylia opposita,3,0.621236559140,above_0.5
462,Indigofera colutea,5,0.621340852130,above_0.5
463,Opilia amentacea,4,0.621449714992,above_0.5
464,Alphitonia excelsa,4,0.622889097373,above_0.5
465,Argusia argentea,3,0.623036442295,above_0.5
466,Lasiopetalum discolor,4,0.623076923077,above_0.5
467,Lindsaea ensifolia,4,0.623156707824,above_0.5
468,Wrightia pubescens,4,0.623715850399,above_0.5
469,Smilax australis,5,0.624202202475,above_0.5
470,Bruguiera gymnorhiza,4,0.624221183801,above_0.5
471,Plantago varia,4,0.624264465512,above_0.5
472,Myristica insipida,3,0.624358164983,above_0.5
473,Rhynchosia minima,5,0.624455222197,above_0.5
474,Physalis angulata,2,0.624711981567,above_0.5
475,Poa labillardierei,5,0.624725995588,above_0.5
476,Pelargonium australe,5,0.625728807037,above_0.5
477,Xyris complanata,4,0.626100514631,above_0.5
478,Hibiscus meraukensis,4,0.628465787598,above_0.5
479,Hardenbergia violacea,4,0.628501400560,above_0.5
480,Ficus drupacea,2,0.628846153846,above_0.5
481,Cyanthillium cinereum,5,0.629248827003,above_0.5
482,Malvastrum coromandelianum,3,0.629335684891,above_0.5
483,Ficus opposita,4,0.629850896052,above_0.5
484,Schizachyrium fragile,5,0.630953009483,above_0.5
485,Drosera pygmaea,4,0.631412642338,above_0.5
486,Arivela viscosa,5,0.631562230871,above_0.5
487,Cissus adnata,3,0.631562881563,above_0.5
488,Urochloa subquadripara,5,0.631636475243,above_0.5
489,Tribulus cistoides,4,0.632679406958,above_0.5
490,Panicum mindanaense,4,0.633312807882,above_0.5
491,Thespesia populneoides,4,0.633890950653,above_0.5
492,Brachyscome ciliaris,4,0.634007182576,above_0.5
493,Chrysopogon fallax,5,0.635158730159,above_0.5
494,Ixora timorensis,3,0.635196158459,above_0.5
495,Aglaia elaeagnoidea,4,0.635209119017,above_0.5
496,Evolvulus alsinoides,5,0.635400864836,above_0.5
497,Philydrum lanuginosum,5,0.635636062205,above_0.5
498,Grewia retusifolia,4,0.636688311688,above_0.5
499,Breynia cernua,4,0.636996779388,above_0.5
500,Mesosphaerum suaveolens,4,0.637209145022,above_0.5
501,Schoenus sparteus,2,0.638104838710,above_0.5
502,Tephrosia spec.,5,0.638482841394,above_0.5
503,Plumbago zeylanica,4,0.639698301257,above_0.5
504,Enneapogon pallidus,3,0.640369209335,above_0.5
505,Josephinia imperatricis,3,0.641151813377,above_0.5
506,Malva weinmanniana,5,0.641397772399,above_0.5
507,Asplenium decurrens,3,0.641867391867,above_0.5
