rank,species,estimable_folds,conditional_concordance,direction_vs_null
1,Xerochrysum papillosum,1,0.183333333333,below_0.5
2,Patersonia occidentalis,1,0.222222222222,below_0.5
3,Calandrinia polyandra,1,0.229166666667,below_0.5
4,Pomaderris paniculosa,3,0.261575622445,below_0.5
5,Derris trifoliata,3,0.297464985994,below_0.5
6,Solanum laciniatum,5,0.316353343865,below_0.5
7,Chionanthus ramiflorus,3,0.321937321937,below_0.5
8,Isolepis platycarpa,2,0.325238095238,below_0.5
9,Stackhousia monogyna,3,0.325946472019,below_0.5
10,Corynotheca micrantha,2,0.329545454545,below_0.5
11,Zoysia macrantha,4,0.330522486772,below_0.5
12,Cheilanthes tenuifolia,4,0.332253694581,below_0.5
13,Tecticornia indica,5,0.340322699613,below_0.5
14,Lachnagrostis aemula,3,0.342164295653,below_0.5
15,Wahlenbergia gracilenta,3,0.356600611259,below_0.5
16,Oldenlandia corymbosa,2,0.360000000000,below_0.5
17,Acacia leptocarpa,4,0.361682200292,below_0.5
18,Poa billardierei,4,0.363279332852,below_0.5
19,Cyperus stolonifer,2,0.365384615385,below_0.5
20,Adiantum aethiopicum,4,0.367105263158,below_0.5
21,Pandorea pandorana,4,0.368750000000,below_0.5
22,Schoenoplectus tabernaemontani,2,0.375000000000,below_0.5
23,Euchiton sphaericus,5,0.379313725490,below_0.5
24,Malvastrum americanum,3,0.381239481239,below_0.5
25,Boerhavia coccinea,4,0.386527136960,below_0.5
26,Rumex hypogaeus,4,0.388877811011,below_0.5
27,Euphorbia litticola,4,0.392737003058,below_0.5
28,Thyridia repens,4,0.396625243665,below_0.5
29,Apium insulare,2,0.398948091382,below_0.5
30,Dysphania pumilio,3,0.408727735369,below_0.5
31,Asplenium flabellifolium,4,0.410351335656,below_0.5
32,Acacia spec.,4,0.410622914349,below_0.5
33,Memecylon pauciflorum,4,0.411038961039,below_0.5
34,Peltophorum pterocarpum,2,0.411290322581,below_0.5
35,Beyeria lechenaultii,4,0.411830001139,below_0.5
36,Atriplex suberecta,1,0.413043478261,below_0.5
37,Kunzea ambigua,2,0.414228723404,below_0.5
38,Crinum pedunculatum,4,0.421856625961,below_0.5
39,Leptinella reptans,1,0.421875000000,below_0.5
40,Antiaris toxicaria,2,0.425414364641,below_0.5
41,Amyema benthamii,2,0.425925925926,below_0.5
42,Cotula australis,5,0.429714991544,below_0.5
43,Secamone elliptica,4,0.434770114943,below_0.5
44,Spinifex sericeus,4,0.435741260769,below_0.5
45,Amaranthus undulatus,5,0.439441854442,below_0.5
46,Callitris rhomboidea,3,0.439488636364,below_0.5
47,Tecticornia arbuscula,5,0.443750000000,below_0.5
48,Wahlenbergia spec.,4,0.444360269360,below_0.5
49,Rytidosperma caespitosum,5,0.444426596573,below_0.5
50,Cynodon dactylon,5,0.445189653106,below_0.5
51,Scyphiphora hydrophylacea,1,0.445454545455,below_0.5
52,Petrorhagia dubia,3,0.446706805327,below_0.5
53,Triglochin trichophora,4,0.447315875977,below_0.5
54,Juncus kraussii,5,0.448989684455,below_0.5
55,Euchiton involucratus,4,0.450662756769,below_0.5
56,Exocarpos syrticola,4,0.451334374071,below_0.5
57,Thespesia populnea,4,0.451867816092,below_0.5
58,Machaerina juncea,5,0.452471016332,below_0.5
59,Litsea glutinosa,3,0.456060606061,below_0.5
60,Pachygone ovata,3,0.456504702194,below_0.5
61,Actites megalocarpus,5,0.457292257220,below_0.5
62,Mnesithea formosa,4,0.458861367127,below_0.5
63,Pseudognaphalium luteoalbum,5,0.459006529326,below_0.5
64,Lawrencia squamata,3,0.462423030971,below_0.5
65,Sida rhombifolia,4,0.462714460784,below_0.5
66,Westringia dampieri,5,0.463553275803,below_0.5
67,Ficinia nodosa,5,0.463826601230,below_0.5
68,Acacia saligna,2,0.464285714286,below_0.5
69,Cynanchum viminale,5,0.464636339293,below_0.5
70,Elaeocarpus arnhemicus,2,0.464705882353,below_0.5
71,Isolepis marginata,4,0.465088593953,below_0.5
72,Beyeria viscosa,4,0.465773809524,below_0.5
73,Capparis sepiaria,4,0.466200229494,below_0.5
74,Ruppia maritima,3,0.466666666667,below_0.5
75,Angianthus preissianus,3,0.467178599020,below_0.5
76,Juncus pallidus,5,0.468046455424,below_0.5
77,Ximenia americana,2,0.468055555556,below_0.5
78,Plectranthus scutellarioides,3,0.468253968254,below_0.5
79,Scleria rugosa,4,0.468481369821,below_0.5
80,Dodonaea viscosa,5,0.469387276887,below_0.5
81,Eragrostis spec.,1,0.470588235294,below_0.5
82,Triglochin centrocarpa,1,0.471428571429,below_0.5
83,Sporobolus virginicus,5,0.471813140726,below_0.5
84,Cassytha pubescens,5,0.472108920491,below_0.5
85,Ipomoea nil,2,0.473214285714,below_0.5
86,Acrostichum speciosum,3,0.473304473304,below_0.5
87,Allocasuarina verticillata,4,0.473576154431,below_0.5
88,Kennedia prostrata,4,0.475228658537,below_0.5
89,Thysanotus patersonii,4,0.475806451613,below_0.5
90,Operculina brownii,3,0.476000072535,below_0.5
91,Triglochin striata,5,0.476057381325,below_0.5
92,Schoenoplectus subulatus,4,0.476562500000,below_0.5
93,Ophioglossum lusitanicum,3,0.477272727273,below_0.5
94,Cryptocarya cunninghamii,3,0.477533679397,below_0.5
95,Lachnagrostis filiformis,5,0.477626446171,below_0.5
96,Calandrinia spec.,5,0.478097622028,below_0.5
