analysis_partition,label,declared_rows_per_weighting,matched_rows_per_weighting,invalid_rows_per_weighting,single_class_failures,current_flow_selection_failures
primary_loso,Leave-one-fragment-out,840,826,14,14,0
spatial_mst_block,Spatial MST blocks,840,718,122,66,56
