rank,species_id,mean_log_loss_difference,mean_brier_difference,n_declared_predictions,n_matched_predictions,n_invalid_predictions,direction
1,edcs,-0.053112985889964298,-0.013158690448299801,14,14,0,favourable
2,omg,-0.0395826597637257,-0.014342847056545699,14,14,0,favourable
3,cf,-0.032945388826478302,-0.0106988263149511,14,14,0,favourable
4,ogt,-0.028741918451822099,-0.013871009531169,14,14,0,favourable
5,pk,-0.026146751354591501,-0.0056940845178586001,14,12,2,favourable
6,pt,-0.026146751354591501,-0.0056940845178586001,14,12,2,favourable
7,bhk,-0.024780960083231399,-0.0066715022992493997,14,12,2,favourable
8,not,-0.0215915306173638,-0.0040725246657522998,14,14,0,favourable
9,rcfw,-0.021591530617363699,-0.0040725246657522998,14,14,0,favourable
10,st,-0.021591530617363699,-0.0040725246657522998,14,14,0,favourable
11,sw,-0.019734607580804898,-0.0078470406523283003,14,12,2,favourable
12,bta,-0.018824901566287501,-0.0024569484082177999,14,14,0,favourable
13,pf,-0.014471503050304599,-0.00041131058042539998,14,14,0,favourable
14,btt,-0.0063971940215402003,-0.0020426868994511999,14,14,0,favourable
15,bltc,-0.0054668919034912,-0.0003360242465048,14,12,2,favourable
16,ow,-5.4012034626338672e-05,-8.7492644949537741e-05,14,12,2,favourable
17,ld,-5.3302921099370502e-05,0.0048518234005308003,14,14,0,favourable
18,cs,0.00038458827311979999,0.00032423290821090002,14,14,0,adverse
19,scg,0.00098391083308440003,0.00041508858715750001,14,14,0,adverse
20,td,0.00098391083308440003,0.00041508858715759997,14,14,0,adverse
21,fb,0.0020770392245369998,-0.0090640068600784003,14,14,0,adverse
22,dbw,0.0029880929684975,0.0011394607022686,14,14,0,adverse
23,sth,0.0029880929684975,0.0011394607022686,14,14,0,adverse
24,bbpb,0.0044827368392557996,-0.0027535004007523001,14,14,0,adverse
25,wca,0.0060189814688927003,0.0024157091368545002,14,14,0,adverse
26,nc,0.0108184569871981,0.0039141551299209003,14,14,0,adverse
27,of,0.013204348207264001,0.0050621997610356996,14,14,0,adverse
28,pbi,0.015414869257133,0.0065757393003122002,14,14,0,adverse
29,ytww,0.017024753010052698,0.0067989315798913002,14,14,0,adverse
30,wtcf,0.021297315622214,0.0082395045153712994,14,14,0,adverse
31,gb,0.021707302779204799,0.0095599577928150003,14,14,0,adverse
32,nt,0.021869598222007399,0.0103889964366293,14,14,0,adverse
33,std,0.025588498618904498,0.0105896209587118,14,14,0,adverse
34,tg,0.026736057857816201,0.012184495581029801,14,14,0,adverse
35,mgt,0.026908204758127999,0.010469396044639199,14,14,0,adverse
36,uvbs,0.029589757935650999,0.016656870256974599,14,14,0,adverse
37,rcrc,0.030558492774347499,0.0015803301613219001,14,14,0,adverse
38,ywe,0.0311751414869667,0.0074161600430033003,14,14,0,adverse
39,yvb,0.0333974584770056,0.0123683066544297,14,14,0,adverse
40,sa,0.036356265216165001,0.0170075333182323,14,14,0,adverse
41,ybg,0.037843711155538001,0.0090617132803161998,14,14,0,adverse
42,cw,0.039288917670243,0.0197849227888987,14,12,2,adverse
43,df,0.044104763002455298,0.0118523474893109,14,14,0,adverse
44,btwe,0.048382287208973501,0.015755635226336301,14,14,0,adverse
45,vs,0.0523799978893719,0.0158709204195394,14,14,0,adverse
46,ag,0.052832162372674601,0.0105867266599963,14,14,0,adverse
47,ac,0.058588886274211001,0.0068417209284346,14,14,0,adverse
48,wbrc,0.059462881958312501,0.012342306707079,14,14,0,adverse
49,web,0.064114676968444806,0.0081056638741970003,14,14,0,adverse
50,ab,0.079007941176235594,0.0314734816573995,14,14,0,adverse
51,bha,0.087671941583473897,0.011581651353025199,14,14,0,adverse
52,tb,0.087671941583473897,0.011581651353025199,14,14,0,adverse
53,lsh,0.087956567166590602,0.020560379021984401,14,14,0,adverse
54,lh,0.089928441255309993,0.026004077184584098,14,14,0,adverse
55,brw,0.096064460531471704,0.0094578275278862003,14,14,0,adverse
56,kl,0.1126339572173975,0.0197719185341927,14,14,0,adverse
57,d,0.122421660080855,0.0057124542165022003,14,14,0,adverse
58,bfbs,0.12437820946411331,0.014854173905772899,14,14,0,adverse
59,af,0.27555022135254859,-0.010318207196951,14,14,0,adverse
60,bgs,0.28518408647517302,-0.0050902112608503004,14,14,0,adverse
